,en 14,ko 14,en 13,ko 13,en 12,ko 12,en 11,ko 11,en 10,ko 10,en 9,ko 9,en 8,ko 8,en 7,ko 7,en 6,ko 6,en 5,ko 5,en 4,ko 4,en 3,ko 3,en 2,ko 2,en 1,ko 1
0,tension,"긴장, 긴장 상태",proficient,"능숙한, 숙달된",behalf,"측, 편; 이익",depart,"떠나다, 출발하다; (직장을) 떠나다, 그만두다",pretend,~인 체하다; (사실이 아닌 것을) 주장하다,endow,기부하다,biodiversity,생물의 다양성,equilibrium,"균형, 평정",replicate,"모사하다, 복사하다; (바이러스 등이) 자기 복제를 하다",refer,"언급하다, 지칭하다; 참조하다",adequate,"충분한, 적당한, 적절한",shed,"없애다; 흘리다; (빛을) 비추다; 헛간, 광; 차고",proceed,"계속되다[하다], 진행되다[하다]; 나아가다",innate,"타고난, 선천적인"
1,mist,옅은 안개; (스프레이 등의) 분무; 부옇게 되다,adjust,"조절[조정]하다, 맞추다; 적응하다",manuscript,원고; 필사본,tactic,"전술, 전략, 작전",align,"일직선으로 하다, 나란히 하다, 정렬시키다; ~와 제휴하다",inform,알려주다; 영향을 미치다,rigorous,"철저한, 엄격한; 엄한, 혹독한",integrate,"통합하다, 통합되다; 융합하다",deprive,"빼앗다, 박탈하다",exert,"(있는 힘껏) 노력하다; (영향력을) 행사하다, 발휘하다",trait,"(성격적 · 신체적) 특성, 특징",slam,"쾅 닫히다, 쾅 닫다; 쾅 내려놓다; 세게 치다",renewable,재생 가능한,advance,"진보, 발전; 전진; 진보하다; 전진하다; (의견을) 제기하다"
2,optimal,"최선의, 최상의, 최적의",prolong,"연장하다, 연장시키다",cater,(행사에) 맞춤음식을 제공하다,comfort,편안함; 위로; 위안을 주는 사람[물건]; 위로하다,hesitate,"망설이다, 머뭇거리다",fallacy,틀린 생각[믿음]; (인식 상의) 오류,postpone,"연기하다, 미루다",summon,호출하다; 소환하다,refund,환불(액); 환불하다,mutual,"상호 간의, 서로의; 공통의, 공동의",fragment,"파편, 조각; 산산이 부수다, 부서지다",privilege,"특혜, 특전, 특권; 특권을 주다",narrative,"이야기, 서술; 이야기의, 서술적인",limb,(하나의) 팔다리; (큰) 나뭇가지
3,reserve,"예약하다; 따로 남겨두다; (권한 등을) 보유하다; 비축, 저장물",refrain,"삼가다, 자제하다; 자주 반복되는 말; 후렴",halt,"정지, 중단; 정지시키다, 멈추다",dissolve,"녹다, 녹이다; (조직 등을) 해산시키다, 분해하다",assess,"평가하다, 사정하다; 재다, 가늠하다",compound,"혼합물, 화합물; 복합체; 복합의, 합성의; (상황을) 악화시키다; 혼합하다",nerve,"신경; 긴장, 불안; 용기; 용기를 내어 ~하다",recipient,"받는 사람, 수령인",astonished,깜짝 놀란,interpret,"(의미를) 해석하다, 이해하다; 통역하다",thorough,"철저한, 빈틈없는, 철두철미한",suggest,"제안하다; 암시하다, 나타내다",artifact,"공예품, 인공물, (과거의) 유물",breed,"새끼를 낳다, 번식시키다; (문제 등을) 일으키다; 종(種), 품종"
4,chamber,"회의실; ~실, 방",budget,예산; 예산안; 예산을 짜다,companion,"동반자, 동료, 친구; (쌍을 이루는 것의) 한쪽, 한 짝",immense,"거대한, 어마어마하게 큰",persevere,"인내하며 계속하다, 끈기 있게 노력하다",impulse,"충동, 욕구; 충격, 자극",underlying,근본적인; (다른 것의) 밑에 있는,gradually,"점차적으로, 서서히",neuroscience,신경과학,clinical,"임상의, 임상적인",summarize,"요약하다, 간추리다",mercury,수은,portray,"묘사하다, 표현하다; (영화 등에서) 연기하다",pervade,"만연하다, ~ 전체에 퍼지다"
5,graze,(가축이) 풀을 먹다; (가축을) 방목하다,nominate,지명하다; 임명하다,acknowledge,인정하다; 감사를 표하다,divert,"방향을 바꾸게 하다, 전환하다; (생각을) 다른 데로 돌리다",intrinsic,"본질적인, 고유한",cope,"잘 대처하다, 잘 처리하다",preconceived,"사전에 형성된, 선입견의",surge,"밀려들다, 급증하다; 급증, 급등",figure,수치; (중요) 인물; 모습; 도표; 중요하다; 생각[판단]하다,sustain,"유지하다, 지속하다; (무게를) 지탱하다; (손해 · 부상을) 겪다, 입다",instinct,"본능, 타고난 소질; 직감",weave,"(실·천을) 짜다, 엮다; (이야기 등을) 엮다",enact,"(법을) 제정하다; 상연하다, 연기하다",regard,"간주하다, 여기다; 고려, 관심; 존경"
6,ripe,"(과일 등이) 잘 익은, 숙성된; ~하기에 시기가 적합한",rigid,"엄격한; 융통성 없는; 잘 구부러지지 않는, 뻣뻣한",intact,"손상되지 않은, 온전한",epidemic,"유행병, 전염병; 급속한 확산[유행]",refugee,"난민, 망명자",carve,"조각하다, 깎아 만들다; 새기다; (고기를) 썰다",reluctant,"꺼리는, 마지못한, 망설이는",displace,"대신하다, 대체하다; 쫓아내다",regulate,"규제하다, 통제하다; 조절하다, 조정하다",acquaintance,"지인, 아는 사람; 지식",glance,흘끗 봄; 흘끗 보다; 훑어보다,federal,"연방의, 연방 정부의; 연방(제)의",incident,"일어난 일, 사건",statement,"진술, 서술; 성명(서)"
7,consistent,"일관된, 한결같은; 일치하는",suburb,"교외, 교외 주택지역",assert,"주장하다, 단언하다; (권리 등을) 행사하다",deposit,"보증금; 예금(액); 퇴적물; 예금하다; 놓다, 두다; 퇴적시키다",offense,"위반, 범죄; 무례; 공격",magnitude,"(엄청난) 규모, 중요도; (지진의) 강도",theoretical,"이론의, 이론적인",supplement,"보충(물), 보완; 추가 요금; 보충하다",spatial,"공간의, 공간적인",counsel,"조언하다; 상담하다; 충고, 조언; 변호인",disperse,"흩어지다, 흩어지게 하다; 분산시키다",infer,"추론하다, 추측하다",speculate,"추측하다, 짐작하다; 투기하다",efficacy,"(약이나 치료의) 효험, 효능"
8,corporation,"(큰 규모의) 기업, 법인",soothe,"달래다, 진정시키다; (통증 등을) 완화하다",sole,"단 하나의, 유일한; 독점적인",esteem,"존경, 존중, 좋은 평판; 존경하다, 존중하다, 좋게 평가하다",profession,"직업, 전문직; (특정 직종) 종사자들",commission,"위원회; 수수료; 의뢰, 주문; 의뢰하다",impair,"손상하다, 악화시키다",nurture,"보살피다, 양육하다; 육성[양성]하다; 양육, 양성",advent,"출현, 도래",toll,통행료; 사상자 수,criterion,"표준, 기준, 척도",formulate,"(세심하게) 만들어내다; (명확하게) 표현하다, 진술하다",prescribe,(의사가 약을) 처방하다; 규정하다,facility,"시설, 설비; (기계 등의) 기능, 특징; 재능"
9,stubborn,"완고한, 고집스러운; 없애기[다루기] 힘든, 고질적인",deplete,"고갈시키다, 격감시키다",flesh,"(사람 · 동물의) 살, 살코기; 피부; (과일의) 과육",emigrate,"(타국으로) 이민을 가다, 이주하다",inquire,"묻다, 문의하다; 조사하다",colleague,동료,compression,"압축, 압박; (데이터) 압축",foster,"촉진하다, 조성하다; 기르다; 보살펴주는",flip,홱 뒤집다; 톡 던지기; 공중제비,associate,"연상하다, 관련 짓다; 어울리다, 교제하다; 동료",democratic,"민주주의의, 민주적인; 평등한; 민주당의",fulfill,"성취하다, 달성하다; (약속을) 이행하다; 충족시키다, 만족시키다",strive,"노력하다, 애쓰다, 분투하다",startled,깜짝 놀란
