,1과 영어,1과 뜻,2과 영어,2과 뜻,3과 영어,3과 뜻,4과 영어,4과 뜻,5과 영어,5과 뜻,6과 영어,6과 뜻,7과 영어,7과 뜻,8과 영어,8과 뜻
0,urgent,"긴박한, 다급한",affirm,"단언하다, 확언하다",garment,"옷, 의복",incompatible,(성격이) 안 맞는; 양립할 수 없는; 호환이 안 되는,slope,"경사지, 비탈; 경사지다, 기울어지다",vomit,"토하다, 게우다; 구토물",premise,(주장의) 전제,upstream,상류로
1,catastrophe,"재앙, 참사",radioactive,"방사성의, 방사능이 있는",arouse,불러일으키다; 깨우다,contradict,"반박하다, 부정하다; 모순되다, 상반되다",surplus,"나머지, 여분, 과잉; 흑자; 과잉의, 잉여의",liberate,"해방시키다, 자유롭게 하다",quest,"탐구, 탐색; 추구",vain,"헛된, 소용없는; 허영심이 많은"
2,outrage,"격분하게 만들다; 격분, 격노; 잔인무도한 일",congestion,혼잡; (충혈 · 울혈 등에 의해) 막힘,erode,"침식되다, 침식시키다; 약화되다, (서서히) 약화시키다",estimate,"평가하다, 추정하다; 추정(치), 평가; 견적서",reside,"살다, 거주하다",outspoken,노골적으로[거침없이] 말하는,soar,"급등하다, 치솟다; 날아오르다; 솟아 있다",consecutive,"연이은, 연속적인"
3,hypothesis,가설,exploit,"(부당하게) 이용하다, 착취하다; (자원 등을) 개발하다; 위업, 공적",tide,"조수(의 간만), 조류; (여론의) 흐름; 풍조, 경향",seal,밀봉[밀폐]하다; 봉[봉인]하다; 도장; 봉인; 물개,presence,"(그 자리에) 있음, 존재, 참석",governance,"통치, 관리; 통치 방식",primate,영장류,sewage,"하수, 오물"
4,tyrant,"폭군, 독재자",controversial,논란이 많은,proportion,"비율, 부분; 균형; 크기, 정도",intimidate,"위협하다, 겁주다",roam,"돌아다니다, 배회하다; (시선이) 천천히 훑다",outbreak,"(전쟁 · 질병 등의) 발생, 발발",mischievous,"짓궂은, 말썽꾸러기의; 악의 있는",figurative,비유적인
5,substance,"물질; 실체; 요지, 본질",coverage,(방송 · 신문 등의) 보도; 범위,realm,"(지식 · 활동 등의) 영역, 범위; 왕국",strip,옷을 벗다; (껍질 등을) 벗기다; 가느다란 조각,legitimate,"타당한, 합당한; 합법적인",tuck,"밀어 넣다, 집어넣다; 끼워 넣다",constraint,"강제, 제약, 속박",intersection,"교차로, 교차 지점"
6,harvest,"수확물; 수확, 추수(기); 수확하다, 거둬들이다",adapt,"적응하다, 적응시키다; (용도 · 상황에) 맞추다, 조정하다; 각색하다",aural,청각의,arise,"발생하다, 일어나다",depict,"(그림으로) 그리다, 묘사하다; (말로) 묘사하다",embody,"구체화[구현]하다, 상징하다; 포함하다, 담다",arbitrary,"임의의; 제멋대로의, 독단적인",cram,"밀어 넣다, 잔뜩 들어가다; 벼락치기 공부를 하다"
7,potent,"강력한, 효력이 뛰어난",alienate,멀어지게 하다; 소외감을 느끼게 하다,foe,"적(敵), 상대",vigorous,"(논쟁 등이) 활발한, 격렬한; (사람 등이) 혈기 왕성한, 건강한",surpass,"능가하다, 뛰어넘다",vein,"정맥, 혈관; (식물의) 잎맥; 방식, 태도",cosmetic,"화장품; 겉치레의, 허울뿐인; 성형의",devastate,"황폐시키다, 완전히 파괴하다; 엄청난 충격을 주다"
8,neglect,"방치하다, 돌보지 않다; 소홀히 하다, 경시하다; 방치, 돌보지 않음; 소홀, 경시",interplay,상호 작용,favorable,호의적인; 유리한,mold,"거푸집, 틀; 곰팡이; (틀에 넣어) 만들다",notion,"개념, 관념, 생각",pasture,"초원, 목초지; (가축이) 풀을 뜯게 하다",approximately,"거의, 대략",reframe,다시 구성하다; 사진을 새로운 액자에 넣다
9,utilitarian,실용적인; 공리주의의,correlate,연관성이 있다; 서로 연관시키다,gracious,"자애로운, 너그러운; 품위 있는, 우아한",liable,"~하기 쉬운, ~하는 경향이 있는; 책임이 있는",molecular,"분자의, 분자로 된",overstate,과장하다,hollow,"속이 빈; 움푹한, 우묵한; 움푹 들어간 곳",drought,가뭄
10,revolve,"(축을 중심으로) 돌다, 돌리다, 회전하다, 회전시키다",viewpoint,"관점, 시각",ritual,(종교적) 의식; 의례적인 일; 의식적인; 의례적인,resume,"재개하다, 다시 시작하다; 다시 돌아가다; 이력서",stroll,"거닐다, 산책하다; (한가로이) 거닐기, 산책",arithmetic,"산수, 계산",reckless,"무모한, 신중하지 못한",reconcile,"화해시키다; (두 가지 이상의 생각을) 조화시키다, 일치시키다"
11,contour,윤곽; 등고선,ecology,생태(계); 생태학,graduate,졸업하다; (대학) 졸업생,suspend,잠시 중단하다; 정직[정학]시키다; 매달다,discourse,"담론, 담화",pave,(도로 등을) 포장하다,deforestation,삼림 벌채,elicit,(반응을) 이끌어내다
12,posture,"자세, 태도",cosmopolitan,"세계적인, 국제적인; 범세계주의자",expedition,"원정(대), 탐험(대); (짧은) 여행",hygiene,"위생, 위생 상태",furious,"몹시 화가 난, 격노한; 맹렬한",sophisticated,"세련된, 교양 있는; 정교한, 복잡한",atypical,이례적인,monetary,"통화의, 화폐의; 금전(상)의, 재정(상)의"
13,prohibit,"금지하다, ~하지 못하게 하다",passionate,"열정적인, 열렬한",execute,"처형하다; 실시하다, 실행하다",inhibit,"억제하다, 저해하다; 못하게 하다",taboo,금지된; 피해야 할; 금기 (사항),,,vulnerable,"취약한, 연약한",shortage,"부족, 결핍"
14,inward,"마음속의; 안쪽으로 향한; 마음속으로; 안쪽으로, 내부로",habitual,습관적인; 상습적인,retail,소매(小賣); (특정 가격에) 팔리다; 소매하다,dispose,"처리하다, 처분하다; 배치하다",candidate,"(선거) 후보자, 출마자; 지원자",,,immune,면역(성)의; 영향을 받지 않는,kinship,"친족(임), 친족 관계; 연대감"
15,exclude,"제외하다, 배제하다; (참여 · 출입 등을) 막다",prehistoric,선사 시대의,textile,"직물, 옷감; 섬유 산업",consent,"동의하다, 허락하다; 승낙, 동의; 합의",overwhelm,"압도하다, 휩싸다; 어쩔 줄 모르게 하다",,,,,envision,"마음속에 그리다, 구상하다"
16,flourish,"번영하다, 번창하다; 잘 자라다",relevant,"관련 있는, 적절한",excel,"뛰어나다, 탁월하다",rage,"분노, 격노; 몹시 화를 내다",steer,"조종하다, 몰다; 나아가게 하다; 이끌다",,,,,relative,"상대적인, 비교 상의; 관련된; 친척; (동식물의) 동족"
17,leisurely,한가한; 느긋하게,dialect,"방언, 사투리",grant,"(정식으로) 주다, 수여하다; 승인하다; 보조금, 지원금",indispensable,"필수적인, 없어서는 안 될",spine,"척추, 등뼈; 가시",,,,,,
18,straightforward,"간단한, 쉬운; 솔직한",repertoire,"레퍼토리, 연주곡목",earnestly,"진지하게, 진정으로; 열심히, 열성적으로",stroke,"뇌졸중; (반복 운동의) 한 동작; 치기, 때리기; 쓰다듬다",disclose,"밝히다, 폭로하다; 공개하다",,,,,,
19,itinerary,"여행 일정표, 여행 계획",amphibian,양서류,,,conscience,양심; (양심의) 가책,rebellion,"반란; 반대, 저항",,,,,,
20,intermediate,중급의; 중간의; 중급자,comply,"따르다, 응하다, 준수하다",,,conscious,"의식하는, 지각하는; 의식이 있는",perish,"죽다; 사라지다, 소멸되다",,,,,,
21,reign,"통치 기간; 다스리다, 군림하다",submit,"제출하다; 굴복하다, 복종하다; 진술하다",,,,,,,,,,,,
22,manipulate,"(부정하게) 조작하다, 조종하다; 잘 다루다",subtle,"미묘한, 감지하기 어려운; 교묘한",,,,,,,,,,,,
23,apparatus,"기구, 장치; (정부 등의) 조직체",industrious,"근면한, 부지런한",,,,,,,,,,,,
24,capacity,"수용력; 용적, 용량; 능력",industrial,"산업의, 공업의; 공업용의",,,,,,,,,,,,
25,confidential,"비밀의, 기밀의",prey,"먹이; 희생(물); 잡아먹다, 희생물로 삼다",,,,,,,,,,,,
